Repository,Link,KLOC,Stars,Contributors
alebabai/linden-honey,https://github.com/linden-honey/linden-honey,4.8,1,2
all-of-us/workbench,https://github.com/all-of-us/workbench,350.7,21,39
amazeeio/lagoon,https://github.com/amazeeio/lagoon,253.9,396,70
Artemkaaas/indy-sdk,https://github.com/Artemkaaas/indy-sdk,352.5,1,100
aspuru-guzik-group/mission_control,https://github.com/aspuru-guzik-group/mission_control,87.3,2,1
Asqatasun/Contrast-Finder,https://github.com/Asqatasun/Contrast-Finder,23.8,38,13
bagage/cadastre-conflation,https://github.com/bagage/batimap,19.9,5,4
benbromhead/cassandra-operator,https://github.com/benbromhead/cassandra-operator,27.4,2,15
blobor/skipass.site,https://github.com/blobor/skipass.site,13.4,0,2
bookbrainz/bookbrainz-site,https://github.com/bookbrainz/bookbrainz-site,134.6,75,62
BSWANG/denverdino.github.io,https://github.com/BSWANG/denverdino.github.io,618.4,0,99
BuiltonDev/pipeline,https://github.com/BuiltonDev/pipeline,2800,0,12
byran/cyber-dojo-web,https://github.com/byran/cyber-dojo-web,37.6,0,23
cdietrich/che,https://github.com/cdietrich/che/graphs/contributors,1200,0,46
cgi-eoss/ftep,https://github.com/cgi-eoss/ftep,1400,5,8
cloudfoundry-incubator/diego-release,https://github.com/cloudfoundry/diego-release,1300,201,162
CogStack/CogStack-Pipeline,https://github.com/CogStack/CogStack-Pipeline,53.2,27,8
collinbarrett/FilterLists,https://github.com/collinbarrett/FilterLists,1100,674,45
CrunchyData/crunchy-containers,https://github.com/CrunchyData/crunchy-containers,39.5,879,43
CrunchyData/crunchy-postgresql-manager,https://github.com/CrunchyData/crunchy-postgresql-manager,447.4,33,3
CrunchyData/postgres-operator,https://github.com/CrunchyData/postgres-operator,105.7,1700,67
cyber-dojo-languages/image_builder,https://github.com/cyber-dojo-tools/image_builder,2.2,0,1
cyber-dojo-retired/storer,https://github.com/cyber-dojo-retired/storer,7,0,2
cyber-dojo/commander,https://github.com/cyber-dojo/commander,5.4,1,2
di-unipi-socc/DockerFinder,https://github.com/di-unipi-socc/DockerFinder,28.4,12,2
drasko/mainflux,https://github.com/drasko/mainflux,915.6,0,41
duderoot/generator-jhipster,https://github.com/duderoot/generator-jhipster,218.9,0,100
eclipse/repairnator,https://github.com/eclipse/repairnator,400.8,349,22
ethereum/hive,https://github.com/ethereum/hive,22.2,141,28
gchq/stroom,https://github.com/gchq/stroom,1300,346,12
geotrellis/geodocker-cluster,https://github.com/geotrellis/geodocker-cluster,2.9,27,5
go-ggz/ggz,https://github.com/go-ggz/ggz,8,172,2
harvard-vpal/bridge-adaptivity,https://github.com/harvard-vpal/bridge-adaptivity,12.2,33,11
hexagonkt/hexagon,https://github.com/hexagonkt/hexagon,33.8,338,27
HumanExposure/factotum,https://github.com/HumanExposure/factotum,515.6,9,15
InnovateUKGitHub/innovation-funding-service,https://github.com/InnovateUKGitHub/innovation-funding-service,816.8,24,64
instructure/straitjacket,https://github.com/instructure/straitjacket,183.4,31,6
ITISFoundation/osparc-lab,https://github.com/ITISFoundation/osparc-lab,459.2,5,5
kr1sp1n/node-vault,https://github.com/kr1sp1n/node-vault,6.3,400,35
kuzzleio/kuzzle,https://github.com/kuzzleio/kuzzle,143.9,1000,30
labsai/EDDI,https://github.com/labsai/EDDI,103.3,173,17
lixiaocong/lxcCMS,https://github.com/lixiaocong/lxcCMS,7.1,11,2
lockss/laaws-metadataservice,https://github.com/lockss/laaws-metadataservice,4.5,0,5
luismayta/dotfiles,https://github.com/luismayta/dotfiles,479.8,21,2
macarthur-lab/matchbox,https://github.com/macarthur-lab/matchbox,85,5,4
mars-lan/datahub,https://github.com/mars-lan/datahub,79.3,0,58
Martin2112/trillian,https://github.com/Martin2112/trillian,119.2,0,42
MetaBarj0/carrier,https://github.com/MetaBarj0/carrier,13.1,1,2
mondediefr/mondedie-chat,https://github.com/mondediefr/mondedie-chat,10.9,39,4
muccg/rdrf,https://github.com/muccg/rdrf,709,13,13
openpitrix/openpitrix,https://github.com/openpitrix/openpitrix,174,605,16
openzipkin/zipkin,https://github.com/openzipkin/zipkin,111,14300,145
ory-am/hydra,https://github.com/ory/hydra,188.5,10800,187
outlierbio/ob-pipelines,https://github.com/outlierbio/ob-pipelines,7.8,11,4
overture-stack/SONG,https://github.com/overture-stack/SONG,54.1,8,19
rackerlabs/blueflood,https://github.com/rackerlabs/blueflood,76.6,549,29
rancher/mesos-catalog,https://github.com/rancher/mesos-catalog,3.1,1,1
reportportal/service-api,https://github.com/reportportal/service-api,55,29,29
RichardKnop/go-oauth2-server,https://github.com/RichardKnop/go-oauth2-server,9.8,1700,11
robymes/OrdinglcDocker,https://github.com/robymes/OrdinglcDocker,42.7,0,1
scalableminds/webknossos,https://github.com/scalableminds/webknossos,304.4,42,21
simonsdave/cloudfeaster,https://github.com/simonsdave/cloudfeaster,15,1,2
SKA-ScienceDataProcessor/integration-prototype,https://github.com/SKA-ScienceDataProcessor/integration-prototype,67.2,4,8
Soluto/tweek,https://github.com/Soluto/tweek,74.2,269,37
stafli-org/stafli.stack.php,https://github.com/stafli-org/stafli.stack.php,12.4,4,1
unbalancedparentheses/docker-erlang,https://github.com/unbalancedparentheses/docker-erlang,5,5,1
vietj/vertx-pg-client,https://github.com/eclipse-vertx/vertx-sql-client,95.7,699,25
xhochy/arrow,https://github.com/xhochy/arrow,1200,1,100
