repo_name,,bytes,name_1,bytes_1
oktadeveloper/jhipster-microservices-example,,1841,Java,628198
houshengbo/openwhisk,,5837,Java,35199
sopnopriyo/sopnopriyo,,440,Java,377238
openfl/lime,,1163,Java,198390
MinoGames/lime,,1163,Java,199152
peacekeeper/indy-sdk,,24968,Java,914219
Artemkaaas/indy-sdk,,23662,Java,857349
Noltari/luci,,1196,Java,49574
snapcore/snapcraft,,4149,Java,1365
bp-kelley/rdkit,,2590,Java,369342
Microsoft/bond,,1421,Java,1432633
migumar2/uiHRDC,,9168,Java,287418
RandyAbernethy/ThriftBook,,1425,Java,65476
ssorj/quiver,,5205,Java,32102
rgee0/faas,,30151,Java,717
sappo/zproto,,416,Java,54931
curioswitch/curiostack,,21091,Java,1723133
ray-project/ray,,20210,Java,1160849
bzz/kythe,,19710,Java,736751
thought-machine/pleasings,,5406,Java,1829
svaarala/duktape,,17999,Java,3043
tvolkert/engine,,587,Java,738375
OpenOverlayRouter/oor,,681,Java,121451
apache/orc,,15416,Java,3479604
janmulder/subsurface,,8499,Java,19782
GokuMizuno/OpenRCT2,,9407,Java,75587
wolfreak99/OpenRCT2,,9407,Java,75587
duke8253/trafficserver,,6693,Java,9881
aws/aws-lambda-java-libs,,88,Java,927097
grulja/tigervnc,,1301,Java,1713959
sartura/libyang,,4406,Java,59665
lift-project/lift,,1247,Java,26323
project-chip/connectedhomeip,,50353,Java,167719
GamesCrafters/GamesmanClassic,,273,Java,295989
docker-flink/official-images,,1421,Java,2046
fberst/xcsoar,,626,Java,247351
stephenc/jenkins,,1069,Java,9995918
daveho/CloudCoder,,1368,Java,3205633
manderson23/NewsBlur,,1331,Java,929560
damorim/testing-cin,,2595,Java,376320
Softmotions/ejdb,,1110,Java,161339
tsandall/contrib,,3418,Java,7335
sosy-lab/java-smt,,1150,Java,2405454
puma/puma,,1478,Java,42376
miyucy/snappy,,253,Java,2010
phxql/argon2-jvm,,353,Java,90431
intel-analytics/BigDL,,139304,Java,1321348
leviathan747/bridgepoint,,454,Java,14088476
travislondon/bridgepoint,,454,Java,14077920
lwriemen/bridgepoint,,454,Java,14088476
euranova/code_retreat,,737,Java,3792
doubtfire-lms/doubtfire-api,,2920,Java,1904
GoogleCloudPlatform/serverless-photosharing-workshop,,6006,Java,20719
fheng/aerogear-unifiedpush-server,,2624,Java,818065
lambci/docker-lambda,,32704,Java,26079
GoogleCloudPlatform/eventarc-samples,,10379,Java,3979
