Repo_Name,Commit_ID,File,Refaactoring_Type
amazeeio/lagoon,fd6b0db52f09dc5a67231c579f745b8df2eb716a,local-dev/hiera-watcher-pusher/Dockerfile,Rename image
amazeeio/lagoon,fd6b0db52f09dc5a67231c579f745b8df2eb716a,services/api/Dockerfile,Rename image
amazeeio/lagoon,fd6b0db52f09dc5a67231c579f745b8df2eb716a,services/auth-server/Dockerfile,Rename image
amazeeio/lagoon,fd6b0db52f09dc5a67231c579f745b8df2eb716a,services/auth-ssh/Dockerfile,Rename image
amazeeio/lagoon,fd6b0db52f09dc5a67231c579f745b8df2eb716a,services/hacky-rest2tasks-ui/Dockerfile,Rename image
amazeeio/lagoon,fd6b0db52f09dc5a67231c579f745b8df2eb716a,tests/files/node6_subfolder/subfolder/.amazeeio.Dockerfile,Rename image
amazeeio/lagoon,fd6b0db52f09dc5a67231c579f745b8df2eb716a,tests/files/node8/.amazeeio.Dockerfile,Rename image
mars-lan/WhereHows,94ffb300a97145a9e9072a70dfe67f84c9f817f5,docker/ingestion/docker-compose.yml,Rename image
collinbarrett/FilterLists,526c4f7f2372ca6487f854661a5dfadc57732eab,docker-compose.yml,Rename image
mondediefr/mondedie-chat,6980125650253db7e74ceb46c9113c272e929c53,docker-compose.yml,Rename image
robymes/OrdinglcDocker,b8b116f37b0b9d3f216412d86714370306431180,docker-compose.yml,Rename image
cyber-dojo/commander,ee5b0ce8a7537678589aedca18c5d47d03d8c839,docker-compose.yml,Rename image
alebabai/linden-honey,5126ec88aedc507cf462f6a660fba50d8c762890,docker-compose.yml,Rename container
openpitrix/openpitrix,ef238746d524d47599896fc8481cd8f586f178fb,docker-compose.yml,Rename container
cyber-dojo/commander,ee5b0ce8a7537678589aedca18c5d47d03d8c839,docker-compose.yml,Rename container
amazeeio/lagoon,c88079e08ddb41a7c9ccb9e42f858f1a77b4c19a,tests/files/drupal8-dockerfiles/alpine/php5.6/Dockerfile.php,Rename ARG variables
amazeeio/lagoon,c88079e08ddb41a7c9ccb9e42f858f1a77b4c19a,tests/files/drupal8-dockerfiles/alpine/php7.0/Dockerfile.nginx,Rename ARG variables
amazeeio/lagoon,c88079e08ddb41a7c9ccb9e42f858f1a77b4c19a,tests/files/drupal8-dockerfiles/alpine/php7.0/Dockerfile.php,Rename ARG variables
amazeeio/lagoon,c88079e08ddb41a7c9ccb9e42f858f1a77b4c19a,tests/files/drupal8-dockerfiles/alpine/php7.1/Dockerfile.nginx,Rename ARG variables
amazeeio/lagoon,c88079e08ddb41a7c9ccb9e42f858f1a77b4c19a,tests/files/drupal8-dockerfiles/alpine/php7.1/Dockerfile.php,Rename ARG variables
hexagonkt/hexagon,99109b64a4f737b6a7592aa88e445e07001b8095,hexagon_benchmark/java.dockerfile,Add ENV variables
hexagonkt/hexagon,99109b64a4f737b6a7592aa88e445e07001b8095,hexagon_benchmark/resin.dockerfile,Add ENV variables
