,repo_name,sha,message
0,batimap,ef318333fc23c456b347720fbd044a9ca3bc6009,"refactor: store docker volumes in a single data/ root folder
"
1,batimap,3cdfc1f3a3700f1801dd0f625e0ce0affbc5eccd,"Merge branch 'refactor_backend_dockerfile' into 'master'
"
2,batimap,e8e8302ba31905c281f3d17c55d36e895c70040d,"refactor(backend): use gunicorn instead of flask and reduce docker image weight
"
3,batimap,11ed7e485161678cf8350467cffe06af94dcd4a6,"refactor(CI): use same tasks for all docker images build
"
4,batimap,a9602a9c6aa79da3b10853b7200b255fc945ada0,"refactor(docker): rename postgis-init container to initializer
"
5,batimap,15ff277694b96ed05f204ae6df7e752298549518,"refactor: configure docker-compose for dev
"
6,bookbrainz-site,9122a22a758254fc5dbb133acac3f63b9237f826,"refactor(docker): Corrected issues with dockerisation and init process
"
7,bookbrainz-site,08cca8211043188364eaaebd3111b922a91f3057,"refactor(docker): Set up and documented using webpack to watch files in container
"
8,bookbrainz-site,ad6b69c25a63b7286216bd4e401fe0b3ec029e26,"refactor(docker): set restart policies for dependencies
"
9,bookbrainz-site,495d2f6063fa67110606509beb5c5b91bd613123,"""refactor(docker): Moved compose file to root"
10,bookbrainz-site,7302921e0f41fdfdf011eecd908c539253a52ab8,"""refactor(docker): Sensible defaults using docker services names"
11,bookbrainz-site,efceb1d059e39161cd5e8893e015a81511cabc7d,"""refactor(docker): Consolidated compose files"
12,bookbrainz-site,7473ba0a6f77baaf65ce2a944a572df2706badcb,"refactor(docker): Working Dockerfile
"
13,bookbrainz-site,a555039185a4e747a7a90afe50a23185e328a17c,"refactor(docker): Correction on Dockerfile
"
14,bookbrainz-site,6846f494d0237bee33dc2b7364841dc324dcff13,"refactor(docker): Rebuilding dockerfile and docker-compose files
"
15,bookbrainz-site,b0c3093ef40cec8bf21cd8c3caf5ac56e10b5596,"refactor(docker): Removing old docker files
"
16,bridge-adaptivity,93b5fffb064ff02cbdec8c77077280a7cc401291,"refactor: depreciate entrypoint and simplify dockerfile
"
17,cloudfeaster,5ce3ff2fa63db990b5ede9a1b77b46a99b4e866e,"refactor: DRYup docker push in CirleCI config
"
18,cloudfeaster,78ea531d0efb9cec0455ff4b24cf3c406b042389,"refactor: simplify build-docker-image.sh a bit
"
19,cloudfeaster,74c76f3ff4632efa8eb94fde5153de9e90ad7c45,"refactor: dev-env/docker_image_integration_tests.sh
"
20,cloudfeaster,ac75d5c87d0a8b0f7fdb65f1d01794effbeee7c3,"refactor: simplify docker image build for runtime
"
21,cloudfeaster,4e68a55e4b7a3670df2fe8189047f8c769d08d83,"refactor: put existing docker stuff in dev-env
"
22,cloudfeaster,47e280502dc60f580e0cf7dfcbe9c43c6280690a,"refactor: simplify dev_env/build-docker-image.sh
"
