,repo_name,sha
7,alebabai/linden-honey,3b23b4c095ba901c97ab7d91127a85105536ad8b'
8,all-of-us/workbench,d7283ba4be96addfc495d2093ce87ba2b384699d
14,amazeeio/lagoon,fd6b0db52f09dc5a67231c579f745b8df2eb716a
16,Artemkaaas/indy-sdk,3908cce7ec961f9f47fd8e716f945a07ca7f82ab
17,Artemkaaas/indy-sdk,99d7a2af4a6b03b4bdf3bb278eef56deddd00600
18,Artemkaaas/indy-sdk,ad575e6ff542bd67932ea0c674d958f8fb25036c
23,benbromhead/cassandra-operator,9e46bab6ad72404b0c621655937d3ce03a25af6b
24,blobor/skipass.site,47c6e750021ea053aac9d132a3fc5048846bd2d6
25,blobor/skipass.site,8d9bfa1fe5f2a4f9a9b8d4f96abe7078d89e0d4b
42,cdietrich/che,341a9b4a13ee219517d698280904d95c06fdc8b2
43,cgi-eoss/ftep,ad968fa2c179e62c1ca26a003515cbdac177caf0
44,cloudfoundry-incubator/diego-release,e28947c006b5c314fbec26c5cd4f7f4d0656d1da
45,CogStack/CogStack-Pipeline,4ce8be25d8914e44f550e7eee60e8cc1d453ede4
46,CogStack/CogStack-Pipeline,5c3bb92db2622a9b16d70842340036bbdf8899a4
47,CogStack/CogStack-Pipeline,ae394ce37df66ffe93d1440eba60b3390775151a
50,collinbarrett/FilterLists,84d194df209482d8f2bd561c17179ce815cf5389
54,CrunchyData/crunchy-containers,5df3ae0bbfbbd492ab89f5c9aec7fdaf0fd4cae2
55,CrunchyData/crunchy-containers,cf7626cb755aec63a1220d21ffd996ce8b4edde9
59,CrunchyData/postgres-operator,4ae5dcf0c58effa64a480c01ba5ff9d25f75a300
60,CrunchyData/postgres-operator,6a305135c52f518f2a758a2779fee1e87d2d65bd
83,drasko/mainflux,260df3ae406dacf92c6e713725e6f499b18d3e52
84,drasko/mainflux,b91024465c9cb4010ff24becdf60326d9de3869f
85,drasko/mainflux,bf189fbd237e846cf2f9e3a0fbcb2c5e1d803a27
86,drasko/mainflux,d6755e4a72cd2d027defac22f6e56d2c4532b55e
88,eclipse/repairnator,8e365c75d65b894dc06acb0501183b82e6fd492c
89,eclipse/repairnator,b3c7148a556d31cac79026d21cd7a1cb2be74d9a
90,ethereum/hive,3d120837d6a9e65f4aec1da0c78fdd669b4f589f
91,ethereum/hive,a0565d5dd0da299a61f61b325b3fd0ec7e663a8f
97,harvard-vpal/bridge-adaptivity,7c109a1a93299a936149f725f87581e97fa61aa9
98,hexagonkt/hexagon,282c4b3c1ad263874a6a7826fba41019cb465f95
99,hexagonkt/hexagon,6c98c22a19be0f54e499f50756adb7d6b559da9d
100,hexagonkt/hexagon,99109b64a4f737b6a7592aa88e445e07001b8095
101,hexagonkt/hexagon,aa8e81e5b0b8c598ba0257d0b66f08e24396fd44
102,hexagonkt/hexagon,cb9a9faef3f1028ede275cbd42dfd4cba7bb5afc
103,hexagonkt/hexagon,d31d64318b1014c83d38ee798ca56ee49580dbd2
104,HumanExposure/factotum,1cc8f7c4e89ad1dc736e269ee4e934f3ffaa2ea8
105,HumanExposure/factotum,72f62e409205c25b4205bea7e753c32097754c0d
106,HumanExposure/factotum,936444edd06f793a078734e5f0f210f5e231a4d3
107,HumanExposure/factotum,c13bc850e0c6c916feb8f0d4215550e273d6d0a6
108,HumanExposure/factotum,d5fe5db18ccdcec56b54a17380e11a5d7426cca6
109,HumanExposure/factotum,d7c05445e6089703cb0f5494e9ce301e2d3fe9ca
110,HumanExposure/factotum,ee595370e4f5b9fa89e3f7b3ab0257a613ef882f
111,InnovateUKGitHub/innovation-funding-service,f7b5921af78a4829a7776441ef2a1c7482b4759d
