,repo_name,sha,message
1,batimap,3cdfc1f3a3700f1801dd0f625e0ce0affbc5eccd,"Merge branch 'refactor_backend_dockerfile' into 'master'
"
3,batimap,11ed7e485161678cf8350467cffe06af94dcd4a6,"refactor(CI): use same tasks for all docker images build
"
4,batimap,a9602a9c6aa79da3b10853b7200b255fc945ada0,"refactor(docker): rename postgis-init container to initializer
"
5,batimap,15ff277694b96ed05f204ae6df7e752298549518,"refactor: configure docker-compose for dev
"
9,bookbrainz-site,495d2f6063fa67110606509beb5c5b91bd613123,"""refactor(docker): Moved compose file to root"
10,bookbrainz-site,7302921e0f41fdfdf011eecd908c539253a52ab8,"""refactor(docker): Sensible defaults using docker services names"
16,bridge-adaptivity,93b5fffb064ff02cbdec8c77077280a7cc401291,"refactor: depreciate entrypoint and simplify dockerfile
"
17,CogStack-Pipeline,8e9a8c371cf7cacbf5936fa1983ed61ab6956f93,"updated examples according to recentbuild refactoring; changed the names of services to be more descriptive; modified run_pipeline script to relay on SERVICES_USED variable to wait for provided services; kibana now uses ELASTICSEARCH_URL directly provided in docker-compose configuration file;
"
18,CogStack-Pipeline,cc36a624260bbdbc8a2ab800c927da39f1e03267,"updated examples according to recentbuild refactoring; changed the names of services to be more descriptive; modified run_pipeline script to relay on SERVICES_USED variable to wait for provided services; kibana now uses ELASTICSEARCH_URL directly provided in docker-compose configuration file;
"
19,CogStack-Pipeline,c76a731dc09fbf5e06a7c1486160787def28deb2,"refactoring docker image build process -- using multi stage build
"
20,commander,21ae2bfe74f6ed1d1e114cac2f30bd3baad548ea,"refactoring; move docker-compose yml files into their own dir
"
21,commander,eed59db227e75b967f0549cc79891c25b451f569,"refactoring; move [sh] and [update] into individual scripts that are docker-catted out of the commander image (like [start-point create])
"
27,commander,95f40c68ca4e9dbe3a82883874608d839e769972,"refactoring; delete dead entries from .dockerignore file
"
28,commander,5de1bb674db943f54a90624971fa2c2752ea3dd2,"refactoring; change [docker images] to [docker image ls]
"
29,commander,34e7aad289fd3a225882c2ecfbb13fd96fe1e252,"refactoring; change [docker images] to [docker image ls]
"
38,Contrast-Finder,338fc97ab0151ce37f2eaad5a1c796bb12e83118,"build_and_run-with-docker.sh - refactor + fixed #95
"
39,crunchy-containers,2a29d40da4bbd648df8d5d0bbe7d17c9fc2b3092,"refactor docker examples
"
40,crunchy-containers,671362972d7daeb0e037330bfe6384e14f7ee9bb,"refactor docker examples and related docs
"
42,crunchy-postgresql-manager,c4d3c82b6fd2bbc7d7bee9d8f43813e161734312,"refactor cpm-node-proxy dockerfile and makefile
"
44,crunchy-postgresql-manager,8ba2c4c90fcb3576af50851c3418aea450d77d6d,"refactor cpm-node dockerfile and makefile
"
45,crunchy-postgresql-manager,9188a91807189f98dd67995b0d8c435c71503a07,"refactor dockerfile and makefile
"
46,crunchy-postgresql-manager,5bbee94526543fdf72804c0b49b6cef834875016,"refactor cpm-backup-job dockerfile and makefile
"
47,crunchy-postgresql-manager,05299bfd99d5df3cf62e178438d7d68114511568,"refactor cpm-admin dockerfile and makefile
"
51,cyber-dojo-web,bfabc1e2e9e95ed7349e3e8c9d324041e405825e,"[ci skip] refactoring; deleted dead lines from .dockerignore
"
52,cyber-dojo-web,6edcc2e476a16901a1880c10b3b373a25cfc8300,"refactoring; kata_ids are now based on test's hex-id and not random-uuid; tests no longer leak docker volumes from runner-stateful
"
53,cyber-dojo-web,5d8215c530bd8cf74e119692798bd6f4655ec8be,"refactoring; added comment on way to improve docker-container-up script file
"
54,cyber-dojo-web,f1fac6e9da02138fb36c41d304746bb078cc3b92,"refactoring; create execute-around method in app-controller tests to reduce chance of leaking docker volumes
"
55,cyber-dojo-web,a4ad258dc6c7ca72ab730c6ac337d87255d3a49b,"refactoring; use nearest-ancestors in docker-tar-pipe-runner
"
57,cyber-dojo-web,0d3258faf093618f1dfbf3f30e206b13ad32f75e,"minor refactoring; still no way to filter on label on [docker volume ls]
"
58,cyber-dojo-web,2ca8f35e157df25390f53ff82b09f5283877f03b,"[docker pull] on first use in setup page javascript refactoring
"
59,cyber-dojo-web,0fdd3df7096c891bb009939a3d821bc73c1c0321,"refactoring - moved docker_runner.rb into docker_tar_pipe_runner.rb
"
60,cyber-dojo-web,0988fbae9a3b194e5556c87b42d13388b5883f46,".gitignore and .dockerignore refactoring
"
61,cyber-dojo-web,75e7634b867854ad2491b80409afb8b0bffe6a2f,"docker_tmp_runner.sh refactoring
"
62,cyber-dojo-web,8676681c5985d2b8f553c6a3dd70397d940cf7e0,"refactor duplication now docker client is inside web image
"
64,cyber-dojo-web,5e63add2a4b41d34c25c97d71e10944e8b6d1d6f,"refactored docker image cleanup file
"
65,cyber-dojo-web,6b643ac4b026c17b7f1d5d7055682271635e55b3,"refactored hard-coded dir name in docker scripts
"
66,cyber-dojo-web,50f4bc8ad11109f9360e7b993185bad2a3a591d8,"moved katas-image and dev-image Dockerfiles into dedicated directories so there is no extra docker-context; refactored Dockerfiles to fewer RUN commands
"
67,cyber-dojo-web,88e8dd3840395aeaf655a83e1c368a8d971e009e,"refactor hard-codes node names in admin_scripts/docker_machine/tail_rsync_logs.sh
"
68,cyber-dojo-web,faebfa77a3e43310f363cd49229eb2db8b4d6a08,"refactor cdf_docker_update_all.rb
"
69,cyber-dojo-web,d5bd56ad0e339682be00e5667337e249a0743a6f,"refactor docker_rebuild_all.sh now no language depends on another
"
70,cyber-dojo-web,0ef4f4fc8c9da48f76da12c0a87ac6bef3171249,"refactor test/lib/test_docker_runner.rb
"
71,cyber-dojo-web,b77e371a0d7f733e3b05b80f8478f3738ef204e9,"refactor lib/docker volume-mount/rsync tests
"
72,cyber-dojo-web,cf6ccc4011c6ae1eb88f7536759cabd137254413,"refactor docker_pull_all duplication
"
73,cyber-dojo-web,b51960629f056e87584aa88f55899f2f0940dcd0,"updated refactoring_dojos.tgz after docker-container updates
"
74,cyber-dojo-web,b3bb9b8900c66331dbb297bfafc6df9e3c76870f,"refactored cyberdojofoundation_docker_update_all.rb so it does not issue docker-pull unless old-container is present and new-container is not (should be much faster when only doing update on some containers)
"
75,cyber-dojo-web,80f06d75a6f5d04f4d580637d587b9743c830c1e,"refactoring - admin_script docker_update_all is not used and is the same as docker_pull_all anyway so I moved it into dead sub folder
"
76,cyber-dojo-web,3626bcc5fe8534a6f55a37cef4a61b09a3692de8,"Merge branch 'master' into docker-test-runner-refactor
"
77,cyber-dojo-web,d146aff300fd6bddba3185a65f1169cae3cdfca1,"Merge branch 'master' into docker-test-runner-refactor
"
