,repo_name,sha,message
0,batimap,ef318333fc23c456b347720fbd044a9ca3bc6009,"refactor: store docker volumes in a single data/ root folder
"
2,batimap,e8e8302ba31905c281f3d17c55d36e895c70040d,"refactor(backend): use gunicorn instead of flask and reduce docker image weight
"
6,bookbrainz-site,9122a22a758254fc5dbb133acac3f63b9237f826,"refactor(docker): Corrected issues with dockerisation and init process
"
7,bookbrainz-site,08cca8211043188364eaaebd3111b922a91f3057,"refactor(docker): Set up and documented using webpack to watch files in container
"
8,bookbrainz-site,ad6b69c25a63b7286216bd4e401fe0b3ec029e26,"refactor(docker): set restart policies for dependencies
"
11,bookbrainz-site,efceb1d059e39161cd5e8893e015a81511cabc7d,"""refactor(docker): Consolidated compose files"
12,bookbrainz-site,7473ba0a6f77baaf65ce2a944a572df2706badcb,"refactor(docker): Working Dockerfile
"
13,bookbrainz-site,a555039185a4e747a7a90afe50a23185e328a17c,"refactor(docker): Correction on Dockerfile
"
14,bookbrainz-site,6846f494d0237bee33dc2b7364841dc324dcff13,"refactor(docker): Rebuilding dockerfile and docker-compose files
"
15,bookbrainz-site,b0c3093ef40cec8bf21cd8c3caf5ac56e10b5596,"refactor(docker): Removing old docker files
"
22,commander,b378598021cc8c0b0befbbf6573c518758785cc2,"refactoring; extract method up_argument() and use CYBER_DOJO_PORT in docker-compose.yml
"
23,commander,ef6884bdb6c7c6a6f812d07a8e0afac061457db7,"refactoring; move ports into their own docker-compose .yml file
"
24,commander,1ddb805ddd371be3c580f6528952804faa2e70ac,"refactoring; move volumes into their own docker-compose .yml file
"
25,commander,a572fa01966b33a2966b4133ce668f4383250a76,"refactoring; move mem-limits into their own docker-compose .yml file
"
26,commander,ed84532d14f0f155be3a777e9c3b84694587b0c1,"refactoring; split off cpu-shares and depends-on into their docker-compose .yml files
"
30,commander,b2e6f4b67adb16116f46c80d69ae37c57d0ccb03,"added singler to docker-compose.yml to help web refactoring
"
31,commander,9bf890eccec0b05281548ba1a779033be357e0d0,"refactoring; remove dead dependency in docker-compose.yml
"
32,commander,55b728f64d41f44146f72fccade615b44113b555,"refactoring; drop Dockerfile's tini install and use --init in cyber-dojo script's [docker run] instead
"
33,commander,b55b93aa95c3b086631e5e8579dab9d8e7f7c6f8,"refactoring; delete dead code in docker-compose.yml
"
34,commander,4799f1f9a8d3a601ecb334343ae5fef9957b36c9,"refactoring; deleted dead dependencies from docker-compose.yml
"
35,commander,ee5b0ce8a7537678589aedca18c5d47d03d8c839,"refactoring; make all image-names and container-names in docker-compose.yml explicit
"
36,commander,84edf651f8075a4b6c04dd6c767fd735dd706f37,"refactoring; add .dockerignore and tidy up Dockerfile
"
37,Contrast-Finder,83c6b8a1e58a0eadc9d40a0925d28a825cebbd55,"Docker: refactoring the directories and docker images names
"
41,crunchy-postgresql-manager,0dbc65b4ff4b8eda2839c2e33fe617c98d35dfa1,"refactor dockerfile and makefile for cpm-restore-job
"
43,crunchy-postgresql-manager,da59f56f9c136a1159c09f9a8d6b5b6c27284171,"refactor cpm-pgpool dockerile and makefile
"
48,crunchy-postgresql-manager,1960b6d1518c0211fa2ad9dd1bef0d185ada4220,"refactored cpm-task dockerfile setup
"
49,cyber-dojo-web,44e7022d0f27a460601b09f397c59f4d0f39150a,"refactoring; added missing mem-swap limits for starter in docker-compose.yml
"
50,cyber-dojo-web,ca436d5f29ae28215934d637a82dd7c23831c054,"refactoring; switched to docker-compose.yml restart:'no' so failures hang-around and you have a chance to get information from them when debugging
"
56,cyber-dojo-web,16fb884ce91eb72ca80fc6b74f720bdeb3c9965a,"refactoring; put external-handling into own module; provide production defaults for ENV vars; lose ENV-vars from cyber-dojo.sh and docker-compose.yml
"
63,cyber-dojo-web,ae7fc78bd1b5d2b90d6c64c462a721fbba005be8,"refactor docker-compose yml files; volumes-from cannot be split across extension yml files but volumes can
"
79,cyber-dojo-web,d0a779ff2b3c6a738ec3b30bb43ebe337ea243be,"refactoring dockerfile so all language-tests have version-number
"
99,denverdino.github.io,bfdb5f72b00a36f5a3cb607ab94606fb6ab2774b,"refactoring database schema out into its own file for easier use outside of containers Signed-off-by: David Lawrence <david.lawrence@docker.com> (github: endophage)
"
109,DockerFinder,7f17332e1c001aac8601dde5dc0c710569175033,"refactoring dockerfiles projects with dockmeister command
"
112,FilterLists,b0b1cfdab233f2e385b255ebd9cec247094323af,"refactor(archival): ♻ don't expose ports to docker network until required
"
113,FilterLists,ece877e5678ff6ac8cd42daa1bae9062f46e2145,"refactor(directory): ♻⚡ extract separate migrate dockerfile for perf
"
117,FilterLists,cd43daec3d67d59464a28d49f9dcf3e735520b19,"refactor: 🎨 include 'dev' docker-compose in dcproj
"
