,repo_name,fork
0,oktadeveloper/jhipster-microservices-example,False
1,houshengbo/openwhisk,True
2,sopnopriyo/sopnopriyo,False
3,openfl/lime,False
4,MinoGames/lime,True
5,peacekeeper/indy-sdk,True
6,Artemkaaas/indy-sdk,True
7,snapcore/snapcraft,False
8,bp-kelley/rdkit,True
9,Microsoft/bond,False
10,migumar2/uiHRDC,False
11,RandyAbernethy/ThriftBook,False
12,ssorj/quiver,False
13,rgee0/faas,True
14,sappo/zproto,True
15,curioswitch/curiostack,False
16,ray-project/ray,False
17,bzz/kythe,True
18,thought-machine/pleasings,False
19,svaarala/duktape,False
20,tvolkert/engine,True
21,OpenOverlayRouter/oor,False
22,apache/orc,False
23,janmulder/subsurface,True
24,GokuMizuno/OpenRCT2,True
25,wolfreak99/OpenRCT2,True
26,duke8253/trafficserver,True
27,aws/aws-lambda-java-libs,False
28,grulja/tigervnc,True
29,sartura/libyang,True
30,lift-project/lift,False
31,project-chip/connectedhomeip,False
32,GamesCrafters/GamesmanClassic,False
33,docker-flink/official-images,True
34,fberst/xcsoar,True
35,stephenc/jenkins,True
36,daveho/CloudCoder,False
37,manderson23/NewsBlur,True
38,damorim/testing-cin,False
39,Softmotions/ejdb,False
40,tsandall/contrib,True
41,sosy-lab/java-smt,False
42,puma/puma,False
43,miyucy/snappy,False
44,phxql/argon2-jvm,False
45,intel-analytics/BigDL,False
46,leviathan747/bridgepoint,True
47,travislondon/bridgepoint,True
48,lwriemen/bridgepoint,True
49,euranova/code_retreat,False
50,doubtfire-lms/doubtfire-api,False
51,GoogleCloudPlatform/serverless-photosharing-workshop,False
52,lambci/docker-lambda,False
53,GoogleCloudPlatform/eventarc-samples,False
54,siemens/fossology,True
55,nbrady-techempower/FrameworkBenchmarks,True
56,sxend/FrameworkBenchmarks,True
57,cliffano/swaggy-jenkins,False
58,coinapi/coinapi-sdk,False
59,egustafson/sandbox,False
60,STJr/SRB2,False
61,mF2C/COMPSs,True
62,grpc/grpc,False
63,icexelloss/arrow,True
64,apache/arrow,False
65,tuan3w/visual_search,False
66,apache/oodt,False
67,ibuenros/gobblin,True
68,happybits/djinni,False
69,dashee/dashee,False
70,dropbox/djinni,False
